,characterID,combatShipsLost,exploShipsLost,miningShipsLost,otherShipsLost,secStatus,shipsDestroyed,soloRatio
135,90077341.0,77.0,1.0,0.0,1.0,5.0021669172337,0.0,0.0
136,90078503.0,71.0,1.0,9.0,4.0,4.2091213501924,0.0,5.0
137,90079484.0,59.0,5.0,1.0,3.0,3.68343216418,0.0,9.0
138,90080027.0,46.0,0.0,0.0,0.0,5.0055136882249,0.0,0.0
139,90080396.0,46.0,0.0,4.0,1.0,-2.4828463776266,0.0,6.0
140,90080499.0,237.0,2.0,1.0,13.0,5.0038706608813,0.0,3.0
141,90080519.0,243.0,1.0,1.0,35.0,5.0090628057003,0.0,1.0
142,90081008.0,443.0,0.0,1.0,0.0,-0.13347348560921,0.0,16.0
143,90083543.0,12.0,9.0,0.0,0.0,0.94580496625753,0.0,7.0
144,90083728.0,416.0,3.0,1.0,23.0,-9.6333646432924,0.0,1.0
145,90084101.0,73.0,0.0,1.0,0.0,0.59916994839083,0.0,2.0
146,90084649.0,82.0,7.0,6.0,16.0,-0.1119867893421,0.0,7.0
147,90085011.0,10.0,0.0,3.0,1.0,5.0020968535021,0.0,33.0
148,90085245.0,129.0,21.0,0.0,2.0,5.0028239782958,0.0,5.0
149,90085264.0,3.0,0.0,0.0,0.0,-4.341002116698,0.0,5.0
150,90085446.0,22.0,1.0,3.0,1.0,2.05922098033,0.0,20.0
151,90087633.0,58.0,0.0,0.0,1.0,5.0083678645114,0.0,19.0
152,90088233.0,9.0,0.0,0.0,0.0,1.831395713241,0.0,37.0
153,90088622.0,590.0,2.0,3.0,1.0,5.0015267769463,0.0,4.0
154,90089934.0,36.0,0.0,6.0,1.0,4.8455214761259,0.0,33.0
155,90090542.0,228.0,0.0,0.0,3.0,-0.67525101154225,0.0,2.0
156,90091434.0,7.0,0.0,0.0,15.0,5.000895346025,0.0,9.0
157,90091557.0,109.0,0.0,0.0,0.0,-4.9674128699562,0.0,6.0
158,90092200.0,27.0,1.0,3.0,1.0,2.4465757065035,0.0,2.0
159,90093539.0,17.0,1.0,1.0,0.0,5.0010706564227,0.0,0.0
160,90094933.0,2.0,0.0,0.0,0.0,5.0035350748985,0.0,5.0
161,90096643.0,119.0,1.0,0.0,0.0,5.0045411806088,0.0,10.0
162,90096741.0,22.0,0.0,0.0,1.0,-3.879688663289,0.0,20.0
163,90098375.0,6.0,0.0,1.0,0.0,1.7411191284329,0.0,10.0
164,90098579.0,623.0,3.0,20.0,0.0,-2.2786422323361,0.0,7.0
165,90098696.0,263.0,0.0,0.0,0.0,-1.9253812496414,0.0,22.0
166,90099087.0,428.0,1.0,0.0,1.0,-9.9999970702909,0.0,1.0
167,90100185.0,25.0,0.0,11.0,0.0,5.0047727641898,0.0,33.0
168,90101389.0,346.0,5.0,0.0,1.0,1.8722239572679,0.0,11.0
169,90103603.0,220.0,2.0,0.0,2.0,2.4647549253804,0.0,7.0
170,90104743.0,254.0,0.0,2.0,0.0,4.898997914198,0.0,3.0
171,90105338.0,71.0,2.0,1.0,10.0,3.9826958611111,0.0,4.0
172,90105898.0,349.0,0.0,6.0,0.0,5.0389625451945,0.0,8.0
173,90107110.0,549.0,1.0,0.0,8.0,-9.917843437791,0.0,6.0
174,90107349.0,151.0,0.0,2.0,0.0,5.0004761750383,0.0,6.0
175,90107900.0,18.0,2.0,0.0,0.0,-0.74197623894091,0.0,1.0
176,90108325.0,86.0,0.0,0.0,1.0,-1.8957069028158,0.0,3.0
177,90108531.0,201.0,0.0,0.0,0.0,-4.527281925237,0.0,5.0
178,90108576.0,13.0,2.0,17.0,10.0,5.0077012668379,0.0,60.0
179,90108981.0,147.0,0.0,27.0,0.0,4.1269899027617,0.0,6.0
180,90109322.0,5.0,0.0,0.0,0.0,-0.037179710348442,0.0,14.0
181,90109796.0,208.0,0.0,0.0,8.0,2.7998690396525,0.0,3.0
182,90110323.0,295.0,4.0,1.0,5.0,-0.28971999545797,0.0,24.0
183,90110870.0,0.0,1.0,0.0,3.0,1.6571319168035,0.0,100.0
184,90111005.0,30.0,0.0,1.0,1.0,5.000107042718,0.0,0.0
185,90111681.0,19.0,0.0,0.0,1.0,4.9273320224127,0.0,8.0
186,90112755.0,21.0,0.0,0.0,0.0,5.0045206755237,0.0,5.0
187,90114121.0,5.0,0.0,0.0,1.0,5.0021447112404,0.0,43.0
188,90114202.0,270.0,0.0,0.0,0.0,-2.8697467716258,0.0,5.0
189,90114894.0,53.0,0.0,18.0,1.0,5.0045293511112,0.0,3.0
190,90115217.0,96.0,0.0,0.0,0.0,-1.1086980568905,0.0,29.0
191,90115825.0,74.0,0.0,2.0,1.0,5.0043641677763,0.0,0.0
192,90116630.0,5.0,0.0,0.0,0.0,5.0014267867232,0.0,5.0
193,90117351.0,35.0,1.0,0.0,0.0,2.4604907046819,0.0,5.0
194,90118901.0,41.0,0.0,0.0,0.0,0.75611839977124,0.0,5.0
195,90119586.0,158.0,0.0,0.0,11.0,5.0029455759904,0.0,0.0
196,90120061.0,20.0,1.0,7.0,3.0,5.0040156347518,0.0,10.0
197,90120981.0,43.0,5.0,18.0,0.0,2.5491353839746,0.0,5.0
198,90122814.0,241.0,11.0,0.0,1.0,-0.77832630790773,0.0,1.0
199,90123521.0,30.0,0.0,0.0,0.0,5.0008761677041,0.0,9.0
200,90124165.0,13.0,0.0,0.0,0.0,-1.8953113753688,0.0,13.0
201,90125007.0,73.0,2.0,0.0,0.0,5.0036617243854,0.0,3.0
202,90125199.0,475.0,1.0,0.0,9.0,-8.0464272634397,0.0,1.0
203,90127225.0,73.0,3.0,0.0,2.0,2.0461634477787,0.0,4.0
204,90127823.0,2.0,1.0,0.0,1.0,-0.28680160138243,0.0,35.0
205,90127938.0,62.0,0.0,1.0,17.0,-1.8571707847707,0.0,0.0
206,90128316.0,5.0,0.0,0.0,0.0,0.44688690388791,0.0,27.0
207,90128397.0,7.0,0.0,0.0,1.0,5.0039989546085,0.0,34.0
208,90128938.0,4.0,0.0,4.0,0.0,4.6909908126817,0.0,6.0
209,90129026.0,286.0,2.0,0.0,0.0,-0.32904698708579,0.0,9.0
210,90131477.0,514.0,0.0,0.0,7.0,-6.026981273825,0.0,13.0
211,90131743.0,140.0,0.0,0.0,0.0,-2.3274275019825,0.0,0.0
212,90131802.0,283.0,0.0,0.0,0.0,-0.17523610137188,0.0,20.0
213,90132734.0,84.0,2.0,2.0,4.0,-1.5051623607907,0.0,2.0
214,90132863.0,20.0,0.0,0.0,0.0,5.0004096403641,0.0,12.0
215,90133042.0,162.0,0.0,0.0,2.0,4.9654808331729,0.0,0.0
216,90134554.0,173.0,0.0,10.0,12.0,5.0036429804224,0.0,6.0
217,90134757.0,74.0,0.0,5.0,0.0,-0.3452432365988,0.0,15.0
218,90134827.0,149.0,0.0,1.0,5.0,5.0035810063958,0.0,1.0
219,90135757.0,138.0,5.0,0.0,0.0,5.0126951470477,0.0,0.0
220,90135877.0,39.0,0.0,1.0,0.0,5.0011109372423,0.0,5.0
221,90136317.0,42.0,5.0,0.0,0.0,2.4127757671641,0.0,66.0
222,90136851.0,92.0,1.0,1.0,1.0,2.368390805783,0.0,5.0
223,90137887.0,16.0,0.0,2.0,0.0,3.0892585498198,0.0,5.0
224,90138155.0,241.0,3.0,0.0,2.0,-4.9753921540704,0.0,12.0
225,90140324.0,180.0,12.0,1.0,8.0,4.6351945961674,0.0,34.0
226,90140792.0,35.0,0.0,1.0,0.0,0.053098926232532,0.0,26.0
227,90141635.0,124.0,7.0,8.0,2.0,3.9257358233842,0.0,0.0
228,90141707.0,4.0,0.0,0.0,0.0,1.6946457526018,0.0,20.0
229,90142084.0,68.0,0.0,1.0,1.0,-4.4368793004456,0.0,1.0
230,90142864.0,20.0,0.0,0.0,0.0,-0.95642804463402,0.0,0.0
231,90142941.0,36.0,0.0,0.0,1.0,5.0069140972103,0.0,1.0
232,90143460.0,68.0,0.0,0.0,0.0,-1.5974750085549,0.0,0.0
233,90143587.0,46.0,2.0,0.0,2.0,4.4291281594358,0.0,8.0
234,90144798.0,35.0,5.0,2.0,3.0,-0.1032589350884,0.0,40.0
235,90145762.0,146.0,1.0,0.0,0.0,-0.98086770408585,0.0,0.0
236,90145860.0,134.0,139.0,0.0,0.0,5.0123196277337,0.0,3.0
237,90146220.0,29.0,10.0,0.0,0.0,-2.3298514936655,0.0,3.0
